Sigla	Nome	H-index	Class
DARS 	International Symposium on Distributed Autonomous Robotic Systems 	25	B1
DS 	International Conference on Discovery Science 	25	B1
ECMDA 	European Conference on Model Driven Architecture Foundations and Applications 	25	B1
ECSQARU 	European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty 	25	B1
FLAIRS 	Florida Artificial Intelligence Research Society 	25	B1
FOIS 	International Conference on Formal Ontology in Information Systems 	25	B1
FUSION 	International Conference on Information Fusion 	25	B1
HiPC 	International Conference on High Performance Computing 	25	B1
IAT 	ACM International Conference on Intelligent Agent Technology 	25	B1
ICGT 	International Conference on Graph Transformation 	25	B1
ICIAP 	International Conference on Image Analysis and Processing 	25	B1
IOLTS 	IEEE International On-­‐Line Testing Symposium 	25	B1
ISADS 	International Symposium on Autonomous Decentralized Systems 	25	B1
ISMM 	International Symposium on Mathematical Morphology 	25	B1
ISMM_A 	International Symposium on Memory Management 	25	B1
ITSC 	Conference on Intelligent Transportation Systems 	25	B1
IWCMC 	ACM International Wireless Communications and Mobile Computing Conference 	25	B1
LATINTCS 	Latin American Theoretical Informatics Symposium 	25	B1
PCS 	International Picture Coding Symposium 	25	B1
PEPM 	Symposium on Partial Evaluation and Program Manipulation 	25	B1
SECURECOMM 	Security and Privacy in Communication Networks 	25	B1
SSPR 	International Workshop on Structural and Syntactic Pattern Recognition 	25	B1
TCS 	IFIP International Conference on Theoetical Computer Science 	25	B1
TEI 	Tangible and Embedded Interaction 	25	B1
VL/HCC 	IEEE Symposium on Visual Languages and Human-­‐Centric Computing 	25	B1
WADS 	Workshop on Algorithms and Data Structures 	25	B1
WG 	International Workshop on Graph-­‐Theoretic Concepts in Computer Science 	25	B1
ACII 	International Conference on Affective Computing and Intelligent Interaction 	24	B1
ADBIS 	Symposium on Advances in Database and Information Systems 	24	B1
AI 	Canadian Conference on Artificial Intelligence 	24	B1
ALT 	International Conferences on Algorithmic Learning Theory 	24	B1
ASAMA 	International Symposium on Agent Systems and Applications / International Symposium on Mobile Agents 	24	B1
CIA 	International Workshop on Cooperative Information Agents 	24	B1
CIG 	IEEE Symposium on Computacional Intelligence and Games 	24	B1
CROWNCOM 	International Conference on Cognitive Radio Oriented Wireless Networks and Communications 	24	B1
DIMVA 	GI International Conference on Detection of Intrusions and Malware and Vulnerability Asessment 	24	B1
DSOM 	IFIP/IEEE International Workshop on Distributed Systems: Operations and Management 	24	B1
EEE 	IEEE International Conference on e-­‐Technology e-­‐Commerce and e-­‐ Service 	24	B1
FIE 	IEEE Frontiers in Education Conference 	24	B1
ICECCS 	IEEE International Conference on Engineering of Complex Computer Systems 	24	B1
ICECS 	IEEE International Conference on Electronics: Circuits and Systems 	24	B1
ICEIS 	International Conference on Enterprise Information Systems 	24	B1
ICLS 	International Conference of the Learning Sciences 	24	B1
ICN 	International Conference on Networking 	24	B1
ICTSS 	IFIP International Conference on Testing Software and Systems 	24	B1
IFM 	International Conference on Integrated Formal Methods 	24	B1
IPCCC 	IEEE International Performance Computing and Communications Conference 	24	B1
ISRA 	International Symposium on Robotics and Automation 	24	B1
OM 	Ontology Matching 	24	B1
PWC 	IFIP International Conference on Personal Wireless Communications 	24	B1
QSIC 	International Quality Software Conference 	24	B1
RANDOM 	International Workshop on Randomization and Computation 	24	B1
RIDE 	International Workshop on Research Issues in Data Engineering 	24	B1
SBCCI 	Symposium on Integrated Circuits and Systems Design 	24	B1
SIGDOC 	ACM International Conference on Design of Communication 	24	B1
TABLEAUX 	International Conference on Theorem Proving with Analytic Tableaux and Related Methods 	24	B1
VAST 	IEEE Symposium on Visual Analytics Science and Technology 	24	B1
WADS_A 	Workshop on Architecting Dependable Systems 	24	B1
WiOpt 	International Symposium on Modeling and Optimization in Mobile Ad Hoc and Wireless Networks 	24	B1
WORDS 	IEEE International Workshop on Object-­‐Oriented Real-­‐Time Dependable Systems 	24	B1
ACSD 	International Conference on Application of Concurrency to System Design 	23	B1
AICCSA 	ACS/IEEE International Conference on Computer Systems and Applications 	23	B1
DGO 	International Conference on Digital Government Research 	23	B1
EuroVis 	Eurographics/IEEE-­‐VGTC Symposium on Visualization 	23	B1
EUSIPCO 	European Signal Processing Conference 	23	B1
GIScience 	International Conference on Geographic Information Science 	23	B1
HOTI 	IEEE Symposium on High-­‐Performance Interconnects 	23	B1
ICARCV 	International Conference on Control, Automation, Robotics and Vision 	23	B1
ICONIP 	International Conference on Neural Information Processing 	23	B1
ICSR 	IEEE International Conference on Software Reuse 	23	B1
IWPSE 	International Workshop on Principles of Software Evolution 	23	B1
PEREL 	Workshop on Pervasive Learning, Life, and Leisure 	23	B1
PRDC 	IEEE Pacific Rim International Symposium on Dependable Computing 	23	B1
TIME 	International Symposium on Temporal Representation and Reasoning 	23	B1
TLCA 	Typed Lambda Calculus and Applications 	23	B1
TSD 	International Conference on Text Speech and Dialogue 	23	B1
VIZSEC 	IEEE Workshops on Visualization for Computer Security 	23	B1
WiMOB 	IEEE International Conference on Wireless and Mobile Computing, Networking and Communications 	23	B1
ADHOC-­‐NOW 	International Conference on AD-­‐HOC Networks and Wireless 	22	B1
AICT 	Advanced International Conference on Telecommunications 	22	B1
ALG 	Workshop on Algorithm Engineering 	22	B1
ATVA 	Automated Technology for Verification and Analysis 	22	B1
CIRA 	IEEE International Symposium on Computational Intelligence in Robotics and Automation 	22	B1
CIT 	International Conference on Computer and Information Technology 	22	B1
CoNLL 	Conference on Natural Language Learning 	22	B1
CoopIS 	International Conference on Cooperative Information Systems 	22	B1
DAS 	International Workshop on Document Analysis Systems 	22	B1
DRM 	ACM Workshop on Digital Rights Management 	22	B1
eScience 	IEEE International Conference on e-­‐science and Grid Computing 	22	B1
FLOPS 	International Symposium on Functional and Logic Programming 	22	B1
FORMATS 	International Conference on Formal Modelling and Analysis of Timed Systems 	22	B1
GDC 	Game Developers Conference 	22	B1
HASE 	IEEE International Symposium on High Assurance Systems Engineering 	22	B1
HASKELL 	Haskell Workshop 	22	B1
I-­‐SPAN 	International Symposium on Parallel Architectures Algorithms and Networks 	22	B1
ICIQ 	International Conference on Information Quality 	22	B1
ICOIN 	International Conference on Information Networking 	22	B1
IEEEIS 	IEEE Conference On Intelligent Systems 	22	B1
ISWPC 	Wireless Pervasive Computing 	22	B1
ITNG 	International Conference on Information Technology New Generations 	22	B1
IWFHR 	International Workshop on Frontiers in Handwriting Recognition 	22	B1
MMM 	International Multi-­‐Media Modelling Conference 	22	B1
MPC 	International Conference on Mathematics of Program Construction 	22	B1
NLDB 	International Conference on Applications of Natural Language to Data Bases 	22	B1
OZCHI 	Australasian Computer-­‐Human Interaction Conference 	22	B1
PDC 	Participatory Design Conference 	22	B1
PROFES 	International Conference on Product Focused Software Process Improvement 	22	B1
RO-­‐MAN 	IEEE International Symposium on Robot and Human Interactive Communication 	22	B1
ROBIO 	IEEE International Conference on Robotics and Biomimetics 	22	B1
RULEML 	International Conference on Rules and Rule Markup Languages for the Semantic Web 	22	B1
SAFECOMP 	International Conference on Computer Safety: Reliability and Security 	22	B1
SOFSEM 	Conference on Current Trends in Theory and Practice of Computer Science 	22	B1
TRIDENTCOM 	International Conference on Testbeds and Research Infrastructure for the Development of Networks and Communities 	22	B1
WISEC 	Wireless Network Security 	22	B1
ACE 	Australasian Conference on Computing Education 	21	B2
CPAIOR 	International Conference o Integration of Artificial Intelligence and Operations Research 	21	B2
DAFX 	International Conference on Digital Audio Effects 	21	B2
DEBS 	International Conference on Distributed Event-­‐Based Systems 	21	B2
DMTCS 	International Conference on Discrete Mathematics and Theoretical Computer Science 	21	B2
EGC 	European Grid Conference 	21	B2
HotInterconnect 	Symposium on High-­‐Performance Interconnects 	21	B2
ICAR 	International Conference on Advanced Robotics 	21	B2
ICB 	International Conference on Biometrics 	21	B2
ICSC 	IEEE International Conference on Semantic Computing 	21	B2
ICST 	International Conference on Software Testing, Verification and Validation 	21	B2
IDA 	International Symposium on Intelligent Data Analysis 	21	B2
INLG 	International Natural Language Generation Conference 	21	B2
IRI 	IEEE International Conference on Information Reuse and Integration 	21	B2
ISIPTA 	International Symposium on Imprecise Probabilities: Theories and Applications 	21	B2
ISMIS 	International Syposium on Methodologies for Intelligent Systems 	21	B2
ISMVL 	IEEE International Symposium on Multiple-­‐Valued Logic 	21	B2
LoCA 	International Symposium on Location-­‐ and Context-­‐Awareness 	21	B2
MMBIA 	IEEE Computer Society Workshops on Mathematical Methods in Biomedical Image Analysis 	21	B2
MUM 	International Conference on Mobile and Ubiquitous Multimedia 	21	B2
PDPTA 	International Conference on Parallel and Distributed Processing Techniques and Applications 	21	B2
PE-­‐WASUN 	ACM International Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks 	21	B2
SAC_A 	Selected Areas in Cryptography 	21	B2
SC_A 	International Symposium on Software Composition 	21	B2
SIROCCO 	Colloquium on Structural Information and Communication Complexity 	21	B2
TES 	International Workshop on Technologies for E-­‐Services 	21	B2
WAIM 	Interational Conference on Web Age Information Management 	21	B2
ACRI 	International Conference on Cellular Automata for Research and Industry 	20	B2
APWEB 	International Asia-­‐Pacific Web Conference 	20	B2
ASRU 	IEEE Workshop on Automatic Speech Recognition & Understanding 	20	B2
BIS 	International Conference on Business Information Systems 	20	B2
BTAS 	IEEE International Conference on Biometrics: Theory, Applications and Systems 	20	B2
CAIP 	International Conference on Computer Analysis of Images and Patterns 	20	B2
DGCI 	Digital Geometry for Computer Imagery 	20	B2
DRCN 	International Workshop on Design of Reliable Communications Networks 	20	B2
DS-­‐RT 	IEEE International Symposium on Distributed Simulation and Real Time Applications 	20	B2
EUC 	IFIP International Conference on Embedded and Ubiquitous Computing 	20	B2
EuroSPI 	European Conference on Software Process Improvement 	20	B2
EvoCOP 	European Conference on Evolutionary Computation in Combinatorial Optimization 	20	B2
FTRTFT 	Formal Techniques in Real-­‐Time and Fault Tolerant Systems 	20	B2
ICCBSS 	IEEE International Conference on COTS-­‐Based Software Systems 	20	B2
ICEBE 	IEEE International Conference on e-­‐Business Engineering 	20	B2
ICFCA 	International Conference on Formal Concept Analysis 	20	B2
ICGSE 	IEEE International Conference on Global Software Engineering 	20	B2
ICIS_A 	IEEE/ACIS International Conference on Computer and Information Science 	20	B2
ICOMP 	International Conference on Internet Computing 	20	B2
ICPS 	IEEE/ACS International Conference on Pervasive Services 	20	B2
IDEAL 	International Conference on Intelligent Data Engineering and Automated Learning 	20	B2
IJCNLP 	International Joint Conference on Natural Language Processing 	20	B2
IPAW 	International Provenance and Annotation Workshop 	20	B2
IPEC 	International Symposium on Parameterized and Exact Computation 	20	B2
IWANN 	International Work-­‐Conference on Artificial and Natural Neural Networks 	20	B2
MKM 	Mathematical Knowledge Management 	20	B2
MobiDE 	Workshop on Data Engineering for Wireless and Mobile Access 	20	B2
NMR 	International Workshop on Non-­‐Monotonic Reasoning 	20	B2
RSP 	International Workshop on Rapid System Prototyping 	20	B2
SEW 	Annual Software Engineering Workshop 	20	B2
SOCC 	IEEE International SOC Conference 	20	B2
TAC 	Text Analysis Conference 	20	B2
VSSN 	ACM International Workshop on Video Surveillance and Sensor Networks 	20	B2
WOCC 	Annual Wireless and Optical Communications Conference 	20	B2
WSE 	IEEE International Symposium on Web Systems Evolution 	20	B2
XP 	International Conference on Agile Processes in Software Engineering and eXtreme Programming 	20	B2
AIIDE 	Artificial Intelligence and Interactive Digital Entertainment 	19	B2
AIME 	Conference on Artificial Intelligence in Medicine in Europe 	19	B2
ALIFE_A 	International Conference on the Simulation and Synthesis of Living Systems 	19	B2
AOM 	Aspect-­‐Oriented Modeling Workshop 	19	B2
APGV 	Symposium on Applied Perception in Graphics and Visualization 	19	B2
CCCG 	Canadian Conference on Computational Geometry 	19	B2
CLOUD 	IEEE International Conference on Cloud Computing 	19	B2
CLOUDCOM 	IEEE International Conference on Cloud Computing Technology and Science 	19	B2
CogSci 	Annual Conference of the Cognitive Science Society 	19	B2
CSEE&T 	Conference on Software Engineering Education and Training 	19	B2
DLT 	International Conference on Developments in Language Theory 	19	B2
DOA 	International Symposium on Distributed Objects and Applications 	19	B2
EC-­‐TEL 	European Conference on Technology Enhanced Learning 	19	B2
EPIA 	Portuguese Conference on Artiificial Intelligence/Encontro Português de Inteligência Artificial 	19	B2
GIR 	Workshop on Geographic Information Retrieval 	19	B2
ICDL-­‐EpiRob 	IEEE Conference on Development and Learning and Epigenetic Robotics 	19	B2
ISM 	IEEE International Symposium on Multimedia 	19	B2
ISRE 	IEEE International Symposium on Requirements Engineering 	19	B2
IWLS 	International Workshop on Logic and Synthesis 	19	B2
LA-­‐WEB 	Latin American Web Congress 	19	B2
MICAI 	Mexican International Conference on Artificial Intelligence 	19	B2
MLDM 	IAPR International Conference on Machine Learning and Data Mining 	19	B2
OPODIS 	International Conference on Principles of Distributed Systems 	19	B2
PAKM 	International Conference on Practical Aspects of Knowledge Management 	19	B2
SBIA 	Brazilian Symposium on Artificial Intelligence 	19	B2
SMC 	IEEE International Conference on Systems Man and Cybernetics 	19	B2
TARK 	Conference on Theoretical Aspects of Rationality and Knowledge 	19	B2
WOCN 	IFIP International Conference on Wireless and Optical Communications Networks 	19	B2
3DUI 	IEEE Symposium on 3D User Interfaces 	18	B2
ABZ 	Abstract State Machines, Alloy, B and Z 	18	B2
ACIVS 	Advanced Concepts for Intelligent Vision Systems Conference 	18	B2
Ada-­‐Europe 	International Conference on Reliable Software Technologies 	18	B2
ADMA 	International Conference on Advanced Data Mining and Applications 	18	B2
BNCOD 	Workshops of the British National Conference on Databases 	18	B2
COMSWARE 	ICST International Conference on Communication System software and Middleware 	18	B2
CSCWD 	International Conference on Computer Supported Cooperative Work in Design 	18	B2
DAIS 	IFIP International Conference on Distributed Applications and Interoperable Systems 	18	B2
ETS 	IEEE European Test Symposium 	18	B2
FAABS 	IEEE Workshop on Formal Approaches to Agent-­‐Based Systems 	18	B2
FCT 	International Symposium on Fundamentals of Computation Theory 	18	B2
FOAL 	Foundations of Aspect-­‐Oriented Languages Workshop 	18	B2
FoIKS 	International Symposium on Foundations on Information and Knowledge Systems 	18	B2
FSKD 	International Conference on Fuzzy Systems and Knowledge Discovery 	18	B2
GCC 	International Conference on Grid and Cooperative Computing 	18	B2
GD 	International Symposium on Graph Drawing 	18	B2
GMP 	Geometry Modeling and Processing Conference 	18	B2
HIS 	International Conference on Hybrid Intelligent Systems 	18	B2
HotMobile 	Workshop on Mobile Computing Systems and Applications 	18	B2
ICCE 	International Conference on Computers in Education 	18	B2
ICCI_A 	IEEE International Conference on Cognitive Informatics 	18	B2
ICCIMA 	International Conference on Computational Intelligence and Multimedia Applications 	18	B2
ICITA 	International Conference on Information Technology and Applications 	18	B2
ISCIS 	International Symposium on Computer and Information Sciences 	18	B2
JCIS 	Joint Conference on Information Sciences 	18	B2
MTSummit 	Machine Translation Summit 	18	B2
PBG 	IEEE/Eurographics Symposium on Point-­‐Based Graphics 	18	B2
PDCAT 	International Conference on Parallel and Distributed Computing Applications and Technologies 	18	B2
PPSWR 	Principles and Practice of Semantic Web Reasoning 	18	B2
PST 	Conference on Privacy, Security and Trust 	18	B2
RST 	Reliable Software Technologies 	18	B2
SBAC-­‐PAD 	International Symposium on Computer Architecture and High Performance 	18	B2
SBIE 	Simpósio Brasileiro de Informática na Educação 	18	B2
SCW 	IEEE Workshop on Speech Coding 	18	B2
TIDSE 	International Conference on Technology for Interactive Digital Storytelling and Entertainment 	18	B2
VRCIA 	ACM SIGGRAPH International Conference on Virtual-­‐Reality Continuum and its Applications in Industry 	18	B2
AAECC 	Applied algebra, Algebraic algorithms, and Error Correcting Codes 	17	B2
ARCS 	Architecture of Computing Systems 	17	B2
CL 	Corpus Linguistics Conference 	17	B2
CMV 	International Conference on Coordinated and Multiple Views in Exploratory Visualization 	17	B2
CNSR 	Annual Conference on Communication Networks and Services Research 	17	B2
DBPL 	International Symposium on Database Programming 	17	B2
DIGRA 	Digital Games Research Conference 	17	B2
EDCC 	European Dependable Computing Conference 	17	B2
ENTER 	International Conference on Information and Communication Technologies in Tourism 	17	B2
FDTC 	Workshop on Fault Diagnosis and Tolerance in Cryptography 	17	B2
FQAS 	International Conference on Flexible Query Answering Systems 	17	B2
HCII 	International Conference on Human-­‐Computer Interaction 	17	B2
HiPEAC 	International Conference on High-­‐Performance and Embedded Architectures and Compilers 	17	B2
HoloMAS 	Holonic and Multi-­‐Agent Systems for Manufacturing 	17	B2
Humanoids 	IEEE RAS International Conference on Humanoids Robots 	17	B2
ICAISC 	International Conference on Artifical Intelligence and Soft Computing 	17	B2
ICAS 	International Conference on Autonomic and Autonomous Systems 	17	B2
ICMLA 	International Conference on Machine Learning and Applications 	17	B2
ICMT 	International Conference on Model Transformation 	17	B2
ICT 	International Conference on Telecommunications 	17	B2
ICWN 	International Conference on Wireless Networks 	17	B2
ISPDC 	International Symposium on Parallel and Distributed Computing 	17	B2
ITS 	International Conference on Interactive Tabletops and Surfaces 	17	B2
LANMAN 	IEEE Workshop on Local and Metropolitan Area Networks 	17	B2
MATA 	International Workshop on Mobility Aware Technologies and Applications 	17	B2
MATES 	German Conference on Multiagent System Technologies 	17	B2
PATMOS 	International Workshop on Power and Timing Modeling: Optimization and Simulation 	17	B2
QSHINE 	International Conference on Quality of Service in Heterogeneous Wired/Wireless Networks 	17	B2
Qsine 	International Conference on Quality of Service in Heterogeneous Wired/Wireless Networks 	17	B2
RANLP 	Recent Advances in Natural Language Processing 	17	B2
SERP 	International Conference on Software Engineering Research & Practice 	17	B2
UIC 	International Conference on Ubiquitous Intelligence and Computing 	17	B2
VRCAI 	International Conference on Virtual Reality Continuum and its Applications in Industry 	17	B2
IAS 	IEEE Industry Applications Society Annual Conference 	16	B1
AIMSA 	Artificial Intelligence: Methodology, Systems, Applications 	16	B2
AWIC 	Atlantic Web Intelligence Conference 	16	B2
CIARP 	Iberoamerican Congress on Pattern Recognition 	16	B2
CiE 	Computability in Europe Conference 	16	B2
CIMCA 	International Conference on Computational Intelligence for Modelling Control and Automation 	16	B2
CLEF 	Cross Language Evaluation Forum Workshop 	16	B2
DMDW 	Design and Management of Data Warehouses 	16	B2
Emnets 	Workshop on Embedded Networked Sensors 	16	B2
ESM 	European Simulation Multiconference 	16	B2
Euro-­‐Plop 	European Conference on Pattern Languages of Programs 	16	B2
EUROPKI 	European Public Key Infrastructure Workshop 	16	B2
IBERAMIA 	Ibero-­‐American Artificial Intelligence Conference 	16	B2
ICAI 	International Conference on Artificial Intelligence 	16	B2
ICEE 	International Conference on Engineering Education 	16	B2
ICHIT 	International Conference on Hybrid Information Technology 	16	B2
ICSC_A 	International Computer Science Conference 	16	B2
ICVS_A 	International Conference on Virtual Storytelling 	16	B2
ICWI 	International Conference WWW/Internet 	16	B2
IDC 	International Conference on Interaction Design and Children 	16	B2
IPMU 	International Conference on Information Processing and Management of Uncertainty in Knowledge-­‐Based Systems 	16	B2
ISDA 	International Conference on Intelligent Systems Design and Applications 	16	B2
ISIMP 	International Symposium on Intelligent Multimedia Video and Speech Processing 	16	B2
ITRE 	International Conference on Information Technology: Research and Education 	16	B2
MFI 	IEEE International Conference on Multisensor Fusion and Integration for Intelligent Systems 	16	B2
MLSP 	IEEE International Workshop on Machine Learning for Signal Processing 	16	B2
OOIS 	International Conference on Object-­‐Oriented Information Systems 	16	B2
OSS 	International Conference on Open Source Systems 	16	B2
SAB 	International Conference on Simulation of Adaptive Behavior 	16	B2
SAMOS 	International Conference on Embedded Computer Systems: Architectures, Modeling, and Simulation 	16	B2
SBES 	Simpósio Brasileiro de Engenharia de Software 	16	B2
SBRC 	Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos 	16	B2
SCN 	International Conference on Security in Communication Networks 	16	B2
SCOPES 	International Workshop on Software and Compilers for Embedded Systems 	16	B2
SERVICES 	IEEE Congress on Services 	16	B2
SLT 	IEEE Spoken Language Technology Workshop 	16	B2
SMC_A 	Sound and Music Computing Conference 	16	B2
SOSE 	International Symposium on Service-­‐Oriented System Engineering 	16	B2
VISUAL 	International Conference on Visual Information Systems 	16	B2
WebNet 	World Conference on the WWW and Internet 	16	B2
WES 	International Workshop on Web Services, E-­‐Business, and the Semantic Web 	16	B2
WUWNET 	International Conference on Underwater Networks 	16	B2
NAFIPS 	North American Fuzzy Information Processing Society International Conference 	15	B2
SIGdial 	Workshop on Discourse and Dialogue 	15	B2
ACIS-­‐ICIS 	International Conference on Computer and Information Science 	15	B3
AFRICACRYPT 	International Conference on Cryptology in Africa 	15	B3
AI*IA 	Congress of the Italian Association for Artificial Intelligence 	15	B3
AiML 	Advances in Modal Logic 	15	B3
ALGOSENSORS 	Algorithmic Aspects of Wireless Sensor Networks 	15	B3
AMAI 	International Symposium on Artificial Intelligence and Mathematics 	15	B3
APSCC 	IEEE Asia-­‐Pacific Services Computing Conference 	15	B3
CGIV 	International Conference on Computer Graphics, Imaging and Visualization 	15	B3
CIAA 	International Conference on Implementation and Application of Automata 	15	B3
CIBCB 	IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology 	15	B3
CISIS 	International Conference on Complex Intelligent and Software Intensive Systems 	15	B3
DUX 	ACM Designing for User Experience Conference 	15	B3
ECSA 	European Conference on Software Architecture 	15	B3
ELearn 	World Conference on E-­‐Learning in Corporate, Government, Healthcare & Higher Education 	15	B3
ERSA 	International Conference on Engineering of Reconfigurable Systems and Algorithms 	15	B3
FDL 	Forum on Specification and Design Languages 	15	B3
FOCI 	IEEE Symposium on Foundations of Computational Intelligence 	15	B3
HM 	International Workshop on Hybrid Metaheuristics 	15	B3
HOTNETS 	Workshop on Hot Topics in Networks 	15	B3
HPCS 	International Symposium on High Performance Computing Systems and Applications 	15	B3
ICDL 	IEEE International Conference on Development and Learning 	15	B3
ICIW 	International Conference on Internet and Web Applications and Services 	15	B3
ICTAC 	International Colloquium on Theoretical Aspects of Computing 	15	B3
IQIS 	Information Quality in Information Systems 	15	B3
ISIC 	IEEE International Symposium on Intelligent Control 	15	B3
MDAI 	Modeling Decisions for Artificial Intelligence 	15	B3
MMNS 	IFIP/IEEE Conference on Management of Multimedia Networks and Services 	15	B3
MobiWac 	ACM International Workshop on Mobility Management and Wireless Access 	15	B3
MVA 	IAPR International Workshop on Machine Vision Applications 	15	B3
NORCHIP 	The Nordic Microelectronics event 	15	B3
PROPOR 	International Conference on Computational Processing of Portuguese 	15	B3
REFSQ 	Working Conference on Requirements Engineering: Foundation for Software Quality 	15	B3
RR 	International Conference on Web Reasoning and Rule Systems 	15	B3
Sandbox 	ACM SIGGRAPH Sandbox Symposium on Videogames 	15	B3
SARNOFF 	IEEE Sarnoff Symposium 	15	B3
SASO 	IEEE International Conference on Self-­‐Adaptive and Self-­‐Organizing Systems 	15	B3
SCAM 	IEEE International Workshop on Source Code Analysis and Manipulation 	15	B3
SCSC 	Summer Computer Simulation Conference 	15	B3
SIGITE 	Information Technology Education 	15	B3
SIPS 	IEEE Workshop on Signal Processing Systems Design and Implementation 	15	B3
VLSI-­‐SOC 	IFIP International Conference on Very Large Scale Integration 	15	B3
WWIC 	Wired/Wireless Internet Communications 	15	B3
XSym 	International XML Database Symposium 	15	B3
IGARSS 	IEEE International Geoscience and Remote Sensing Symposium 	14	B1
IAAI 	Conference on Innovative Applications in Artificial Intelligence 	14	B2
AAIM 	Algorithmic Applications in Management 	14	B3
ABiALS 	Anticipatory Behavior in Adaptive Learning Systems 	14	B3
AIRS 	Asia Information Retrieval Symposium 	14	B3
ARC 	International Workshop on Applied Reconfigurable Computing 	14	B3
AST 	Automation of Software Test 	14	B3
CAMP 	International Workshop on Computer Architectures for Machine Perception 	14	B3
CompSysTech 	International Conference on Computer Systems and Technologies 	14	B3
DEON 	International Workshop on Deontic Logic in Computer Science 	14	B3
ED-­‐MEDIA 	World Conference on Educational Multimedia Hypermedia and Telecommunications 	14	B3
Edutainment 	International Conference on E-­‐learning and Games 	14	B3
EUMAS 	European Workshop on Multi-­‐Agent Systems 	14	B3
EuroITV 	European Interactive TV Conference 	14	B3
GeoInfo 	Simpósio Brasileiro de Geoinformática 	14	B3
GeoS 	International Conference on Geospatial Semantics 	14	B3
GSD 	International Workshop on Global Software Development for the Practitioner 	14	B3
GWC 	International Global Wordnet Conference 	14	B3
HOST 	Hardware-­‐Oriented Security and Trust HOST), IEEE International Workshop on 	14	B3
HPCN 	International Conference on High Performance Computing and Networking 	14	B3
ICAT 	International Conference on Artificial Reality and Telexistence 	14	B3
ICMTS 	IEEE International Conference on Microelectronics Test Structures 	14	B3
ICNS 	International conference on Networking and Services 	14	B3
ICSTW 	IEEE International Conference on Software Testing Verification and Validation Workshop 	14	B3
ICWL 	International Conference on Web-­‐based Learning 	14	B3
ICWMC 	International Conference on Wireless and Mobile Communications 	14	B3
ISITA 	IEEE International Symposium on Information Theory and Its Applications 	14	B3
MPAC 	International Workshop on Middleware for Pervasive and Ad-­‐hoc Computing 	14	B3
MSN 	International Conference on Mobile Ad-­‐hoc and Sensor Networks 	14	B3
MWE 	Workshop on Multiword Expressions 	14	B3
NWeSP 	International Conference on Next Generation Web Services Practices 	14	B3
PADTAD 	Workshop on Parallel and Distributed Systems: Testing, Analysis, and Debugging 	14	B3
ParCo 	International Conference on Parallel Computing 	14	B3
SAFEProcess 	IFAC Symposioum on Fault Detection Supervision and Safety of Technical Processes 	14	B3
SBM 	Eurographics Workshop on Sketch-­‐Based Interfaces and Modeling 	14	B3
SBRN 	Simpósio Brasileiro de Redes Neurais 	14	B3
SemWiki 	Semantic Wiki Workshop 	14	B3
SERA 	ACIS International Conference on Software Engineering Research, Management and Applications 	14	B3
STEP 	IEEE International Workshop on Software Technology and Engineering Practice 	14	B3
VAMOS 	International Workshop on Variability Modelling of Software-­‐intensive Systems 	14	B3
VISAPP 	International Conference on Computer Vision Theory and Applications 	14	B3
WER 	Workshop de Engenharia de Requisitos 	14	B3
WMUTE 	IEEE Wireless, Mobile and Ubiquitous Technologies in Education 	14	B3
WTS 	Wireless Telecommunications Symposium 	14	B3
ADPRL 	IEEE International Symposium on Approximate Dynamic Programming and Reinforcement Learning 	13	B3
AISC 	International Conference on Artificial Intelligence and Symbolic Computing 	13	B3
AMSTA 	Agent and Multi-­‐Agent Systems: Technologies and Applications 	13	B3
BPMDS 	International Conference on Business Process Modeling, Development, and Support 	13	B3
C5 	International Conference on Creating Connecting and Collaborating through Computing 	13	B3
CASA 	Computer Animation and Social Agents 	13	B3
CCA_A 	International Conference on Computability and Complexity in Analysis 	13	B3
CollaborateCom 	International Conference on Collaborative Computing: Networking, Applications and Worksharing 	13	B3
DASC 	IEEE International Symposium on Dependable, Autonomic and Secure Computing 	13	B3
DesignCon 	Design Conference 	13	B3
EDM 	International Conference on Educational Data Mining 	13	B3
EDOCW 	IEEE International Enterprise Distributed Object Computing Conference Workshops 	13	B3
ESAW 	International Workshop on Engineering Societies in the Agents World 	13	B3
ESTIMedia 	IEEE Workshop on Embedded Systems for Real-­‐Time Multimedia 	13	B3
EUROCAST 	International Workshop on Computer Aided Systems Theory 	13	B3
FGCN 	International Conference on Future Generation Communication and Networking 	13	B3
FOGA 	Foundations of Genetic Algorithms 	13	B3
GeoComp 	International Conference on GeoComputation 	13	B3
ICIDS 	International Conference on Interactive Digital Storytelling 	13	B3
ICIG 	International Conference on Image and Graphics 	13	B3
ICISS 	International Conference on Information Systems Security 	13	B3
ICSEA 	International Conference on Software Engineering Advances 	13	B3
ICSNC 	International Conference on Systems and Networks Communication 	13	B3
ISPA 	International Symposium on Parallel and Distributed Processing and Applications 	13	B3
ITHET 	International Conference on Information Technology Based Higher Education and Training 	13	B3
IWPT 	International Conference on Parsing Technologies 	13	B3
JMLC 	Joint Modular Languages Conference 	13	B3
KES-­‐AMSTA 	International Conference on Agent and Multi-­‐Agent Systems: Technologies and Applications 	13	B3
